act*
march*
rall*
protest*
donat*
support*
campaign*
solidarity
mobilis*
mobiliz*
activis*
volunt*
participa*
petition*
sign-up
join
affiliat*
lobby
recruit
retweet
spread
stand
unite
persist
resist*
fight
struggle*
challenge
dissent
picket*
boycott
write-in
demonstrat*
cause*
movement*
strike*
blockade*
sit-in
revol*
moratori*
rebel*
crusad*
drive
canvass
persua*
talk 
oppose
do
