care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
0.44821909070014954,0.2674559950828552,0.44021666049957275,0.25073426961898804,0.7381940484046936,0.7140637636184692,0.28572091460227966,0.14388218522071838,0.3840348720550537,0.014600569382309914
0.455024778842926,0.3029754161834717,0.4433954656124115,0.3846105635166168,0.6198165416717529,0.6309652924537659,0.2573903799057007,0.12887023389339447,0.39529913663864136,0.01035364530980587
0.42323556542396545,0.293374240398407,0.466677725315094,0.23363664746284485,0.6639152765274048,0.6737154126167297,0.2324173003435135,0.14792199432849884,0.36992087960243225,0.007442956790328026
0.44221678376197815,0.39521998167037964,0.5000410676002502,0.3705475628376007,0.6328568458557129,0.5944244265556335,0.3066082000732422,0.13891342282295227,0.333406925201416,0.009314381517469883
0.439057856798172,0.245411217212677,0.4809749126434326,0.2406386137008667,0.6359873414039612,0.5145477056503296,0.2036030888557434,0.12808862328529358,0.3018805682659149,0.012602838687598705
0.45270198583602905,0.33873575925827026,0.49821633100509644,0.41847243905067444,0.5979269742965698,0.6398736834526062,0.2556033134460449,0.16033300757408142,0.40979164838790894,0.0066611613146960735
0.3990999758243561,0.33620840311050415,0.3907146751880646,0.40727880597114563,0.536990225315094,0.5562412142753601,0.2203516960144043,0.10941066592931747,0.3041723668575287,0.011534416116774082
0.4532982110977173,0.32232776284217834,0.5851567387580872,0.38488832116127014,0.6487842798233032,0.6229777336120605,0.24798238277435303,0.15192340314388275,0.3833819329738617,0.008320554159581661
0.40679121017456055,0.3610322177410126,0.5417101979255676,0.4364355802536011,0.6843533515930176,0.602955162525177,0.29778212308883667,0.14017893373966217,0.38123369216918945,0.0070780543610453606
0.452053964138031,0.3815075755119324,0.5589540004730225,0.44129765033721924,0.6402946710586548,0.6022382378578186,0.35905808210372925,0.14653854072093964,0.35493290424346924,0.013196293264627457
0.40771952271461487,0.3057159185409546,0.4726051390171051,0.2816908359527588,0.6292529702186584,0.5748623013496399,0.25822409987449646,0.14564262330532074,0.35008153319358826,0.007783304434269667
0.45662346482276917,0.30937424302101135,0.5413806438446045,0.3927549123764038,0.6912532448768616,0.649929404258728,0.2986641526222229,0.1684846729040146,0.406655490398407,0.00665942020714283
0.4412878453731537,0.320090651512146,0.5410087704658508,0.39408889412879944,0.6312446594238281,0.6710584163665771,0.3193397521972656,0.14660170674324036,0.42070889472961426,0.006974566727876663
