emotion,odds_ratio,lower_ci,upper_ci
desire,1.9503326533071283,1.7301200715254246,2.170545235088832
sadness,1.7002968428282041,1.4959457488940657,1.9046479367623426
realization,1.6102189434919207,1.4924392518169376,1.7279986351669039
disappointment,1.551907729883116,1.3767101250845577,1.7271053346816745
optimism,1.5446433095357162,1.399863552590398,1.6894230664810344
annoyance,1.4164871855593326,1.28213142240107,1.5508429487175952
grief,1.4135240367660307,0.48484459481388775,2.3422034787181736
fear,1.340439280408557,1.0444355080655892,1.6364430527515248
pride,1.3135517443130387,0.7500673905236017,1.8770360981024756
caring,1.312921618746631,1.1341747686629755,1.4916684688302866
embarrassment,1.2645691618458605,0.7674808697694273,1.7616574539222938
anger,1.2171866114993097,1.0008615588593808,1.4335116641392387
nervousness,1.1726957911462548,0.7127107678915825,1.632680814400927
disapproval,1.1127788575134605,1.0183503068198496,1.2072074082070714
relief,1.1063153804152384,0.6796669689633879,1.5329637918670889
disgust,1.0094597263182783,0.7286985250745601,1.2902209275619965
approval,0.9786816238688392,0.9338051677974326,1.0235580799402457
remorse,0.8363287213959285,0.5660718716014566,1.1065855711904005
love,0.698459076308136,0.5832358675973797,0.8136822850188923
admiration,0.6855308339856786,0.6267550607847551,0.7443066071866021
confusion,0.6575315551866316,0.5906035674733586,0.7244595428999047
curiosity,0.6323226644860975,0.5773105418033742,0.6873347871688209
excitement,0.631457969361866,0.5144310536590018,0.7484848850647303
joy,0.626086085043007,0.5159392892562102,0.7362328808298038
surprise,0.5404978934555389,0.41031835697761854,0.6706774299334592
gratitude,0.49657595538625043,0.4235880924111214,0.5695638183613795
amusement,0.44286126415280963,0.3159795443518064,0.5697429839538128
