emotion,odds_ratio,lower_ci,upper_ci
pride,2.001504302492994,0.13220547544457784,3.87080312954141
desire,1.9337483505246686,1.4234377577450528,2.4440589433042845
optimism,1.7524008659812136,1.3918830883775093,2.112918643584918
realization,1.7014139237084223,1.422265685109752,1.9805621623070926
relief,1.5284715748567772,0.20198708904820695,2.8549560606653475
sadness,1.452467100142904,1.0051994394787716,1.8997347608070363
grief,1.3740206342043764,-1.5410522765225867,4.289093544931339
disappointment,1.180557520321275,0.8174665383596569,1.5436485022828932
embarrassment,1.1590862776670843,-0.27297821241370945,2.591150767747878
caring,1.130993539086407,0.7259811934808482,1.5360058846919658
approval,1.0943831990932216,0.9828484550804426,1.2059179431060005
nervousness,1.0827737753210467,-0.25445344419759985,2.420000994839693
joy,1.0802416404377897,0.7259020223716959,1.4345812585038835
excitement,1.068454412535866,0.6910657214212865,1.4458431036504453
admiration,1.0000358909435052,0.8290608915939561,1.1710108902930543
fear,0.9871696544143352,0.30197201030032006,1.6723672985283504
gratitude,0.9162843267013455,0.67374229597651,1.158826357426181
annoyance,0.7943318357301646,0.55526710853446,1.0333965629258692
love,0.7742576880547636,0.47175824196082106,1.076757134148706
disapproval,0.704500141337382,0.5261384932574031,0.8828617894173609
remorse,0.7009143971504997,-0.0038689771864168776,1.4056977714874164
disgust,0.6814784323330292,-0.0035515657305846826,1.366508430396643
anger,0.5878608201879615,0.18059794634062398,0.995123694035299
surprise,0.5084717573647975,0.17148052852197715,0.845462986207618
confusion,0.4293083890551822,0.2963640685562263,0.5622527095541381
amusement,0.4292108567699655,0.08169849027886766,0.7767232232610634
curiosity,0.35931089792492477,0.2580967980359787,0.46052499781387085
