emotion,odds_ratio,lower_ci,upper_ci
desire,4.045841480172449,3.2866549125051243,4.805028047839773
optimism,1.8699639399171,1.489960876304857,2.249967003529343
sadness,1.5135508917063303,1.0472740897225594,1.9798276936901011
caring,1.4859218437335666,1.0186358796295196,1.9532078078376136
pride,1.4816607989785011,-0.35159953455575144,3.3149211325127537
curiosity,1.438512021039857,1.2302767514333666,1.6467472906463474
grief,1.3533982810661356,-1.5180195798587732,4.224816141991044
realization,1.3340702763348888,1.0835752988557819,1.5845652538139958
disappointment,1.2493102179515925,0.8687172607064546,1.6299031751967303
nervousness,1.2404578522154224,-0.13269025768605136,2.613605962116896
embarrassment,1.1145831281434857,-0.2625655861810632,2.4917318424680346
relief,1.1071546230021434,-0.11785935686280657,2.3321686028670934
love,1.0935119860743767,0.7305476174027252,1.4564763547460282
fear,1.0865133524570936,0.36446103562340193,1.8085656692907852
annoyance,1.0188618607641569,0.7447440347344185,1.2929796867938952
remorse,0.9459556976190215,0.1279244844339904,1.7639869108040527
approval,0.9081340319217301,0.8072944807850579,1.0089735830584023
excitement,0.9029498941806304,0.5441245013894649,1.261775286971796
anger,0.886372323836461,0.39457526475004534,1.3781693829228767
disgust,0.8330347269754151,0.11292129024589892,1.5531481637049314
confusion,0.8190772521586457,0.6344510804573369,1.0037034238599545
admiration,0.8116385703702422,0.6547849234076631,0.9684922173328213
disapproval,0.8082508512040855,0.6139528163615797,1.0025488860465912
joy,0.76583889283346,0.4510899034287206,1.0805878822381993
gratitude,0.6874844360229501,0.4720298187185954,0.9029390533273047
surprise,0.6636747714972635,0.28397696272186,1.043372580272667
amusement,0.46389593335244556,0.0882636019588412,0.8395282647460499
