category,odds_ratio,lower_ci,upper_ci
ambiguous,0.7496262420133317,0.5370517700559835,0.9622007139706799
negative,0.9731964171645507,0.11915791456548529,1.8272349197636162
positive,1.2258322206232097,0.6942975602316479,1.7573668810147716
