category,odds_ratio,lower_ci,upper_ci
ambiguous,3.5964665954185158,2.8223663456622567,4.370566845174775
negative,7.424432360023093,6.536584649725325,8.312280070320861
positive,4.465333264090256,3.7915296265293237,5.139136901651188
