category,odds_ratio,lower_ci,upper_ci
ambiguous,0.3229647001983511,0.2641109157687975,0.3818184846279047
negative,0.7136008363052914,0.44728671804753245,0.9799149545630502
positive,0.6164427776300211,0.43108006820031297,0.8018054870597293
