emotion,odds_ratio,lower_ci,upper_ci
optimism,16.164356418451412,13.612065124563337,18.716647712339487
anger,5.816683220171426,5.353167112931317,6.280199327411536
fear,5.478210676069796,5.049843955291184,5.906577396848409
love,5.161841345508259,4.7300156086481415,5.593667082368377
disgust,5.054671274464979,4.65359865729405,5.455743891635907
pride,4.89336585608855,4.5106661971899955,5.276065514987104
surprise,3.2873415600463938,2.7352384780923265,3.839444642000461
excitement,1.9321159329030455,1.7531244815064877,2.1111073842996033
relief,1.1214091137511721,1.008921595212035,1.2338966322903093
disappointment,0.7928227446765123,0.6767780902400427,0.9088673991129819
