category,odds_ratio,lower_ci,upper_ci
ambiguous,3.2873415600463938,2.7352384780923265,3.839444642000461
negative,4.285596978845678,3.9333469539391483,4.637847003752208
positive,5.854617733340488,5.122958601423999,6.586276865256975
